POLITICAL_UNIT,NAME,WGMS_ID,YEAR,SURVEY_DATE,HIGHEST_ELEVATION,MEDIAN_ELEVATION,LOWEST_ELEVATION,ELEVATION_UNC,LENGTH,LENGTH_UNC,AREA,AREA_UNC,SURVEY_PLATFORM_METHOD,INVESTIGATOR,SPONS_AGENCY,REFERENCE,REMARKS
AF,UNNAMED 13629,13629,2002,,5793,5104,4645,,,,7.48,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 13634,13634,2002,,4988,4331,3920,,,,3.8599999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 13646,13646,2000,,4674,4269,3751,,,,2.3800001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 13647,13647,2000,,4808,4137,3608,,,,2.51,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 13648,13648,2000,,4979,4082,3689,,,,2.0699999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 13649,13649,2000,,5267,4381,3728,,,,3.97,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 13650,13650,2000,,4684,4231,3976,,,,2.1099999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 13651,13651,2000,,4961,4329,3923,,,,2.29,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 13940,13940,2001,,4791,4261,3773,,,,4.4699998,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 13941,13941,2001,,4778,4335,3962,,,,2.71,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 13942,13942,2001,,4707,4376,4110,,,,3.0,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 13943,13943,2001,,4811,4362,3697,,,,2.25,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 13944,13944,2001,,4747,4476,3768,,,,2.1700001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 13945,13945,2001,,4704,4395,3911,,,,3.0899999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 13946,13946,2001,,4727,4240,3948,,,,2.3299999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 13947,13947,2001,,4493,4244,3855,,,,2.5899999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 13948,13948,2001,,4748,4352,3895,,,,3.26,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 13949,13949,2001,,4577,4340,4064,,,,2.46,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 13950,13950,2001,,4765,4443,4008,,,,5.0500002,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 13951,13951,2001,,4691,4348,4048,,,,2.55,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 13981,13981,2002,,4535,4242,4015,,,,2.6800001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 15944,15944,1998,,5619,5077,4756,,,,2.28,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 15946,15946,1998,,6046,5174,4577,,,,12.74,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 15980,15980,1998,,5650,5044,4769,,,,2.5799999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 15981,15981,1998,,5494,4989,4648,,,,6.6199999,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 15982,15982,1998,,5463,5083,4736,,,,2.1500001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 15983,15983,1998,,5465,5076,4765,,,,2.1900001,,,,,RGI5.0,Information derived from RGI5.0.
AF,UNNAMED 15987,15987,1998,,5751,5273,4842,,,,6.73,,,,,RGI5.0,Information derived from RGI5.0.
