year,Iceland,Svalbard,Russian-High-Arctic,Alaska,Arctic-Canada,Norway-Sweden,Greenland
1971,,0.17,6.00,27.16,27.87,0.41,124.73
1972,,0.31,6.00,26.46,37.90,0.56,120.44
1973,,0.51,6.00,15.28,31.92,0.95,118.62
1974,,1.92,6.00,63.60,14.04,0.62,123.01
1975,,0.16,6.00,55.14,25.11,0.83,125.05
1976,,0.32,6.00,29.89,33.33,0.95,125.69
1977,,0.39,6.00,52.92,19.94,0.51,127.92
1978,,0.75,6.00,32.42,20.53,0.61,127.47
1979,,1.37,6.00,31.98,19.12,0.47,123.37
1980,,0.55,6.00,47.19,8.44,0.45,124.47
1981,,0.59,6.00,112.56,5.43,0.27,122.35
1982,,0.46,6.00,22.11,20.86,0.39,119.02
1983,,0.12,6.00,44.25,35.07,0.27,120.92
1984,,1.40,6.00,28.84,8.14,0.49,124.11
1985,,0.89,6.00,41.51,10.53,0.91,127.53
1986,,0.02,6.00,14.39,38.36,0.35,79.22
1987,,0.70,6.00,57.32,46.89,0.53,92.00
1988,,1.66,6.00,28.89,40.17,0.59,80.32
1989,0.55,2.39,6.00,28.32,26.52,0.59,75.50
1990,4.13,4.28,6.00,48.18,14.50,0.64,84.11
1991,4.59,3.16,6.00,23.32,24.53,0.54,88.06
1992,5.96,6.78,6.00,20.48,36.41,0.47,77.65
1993,5.72,3.26,6.00,32.89,37.85,0.35,85.87
1994,6.40,3.82,6.00,7.51,20.78,0.51,73.42
1995,3.25,8.96,6.00,15.86,21.75,0.32,76.59
1996,3.81,32.54,6.00,28.22,18.04,0.80,84.37
1997,5.64,5.69,6.00,14.11,13.46,0.90,80.53
1998,2.73,6.52,6.00,39.56,27.38,0.69,81.90
1999,4.03,4.47,6.00,44.85,10.97,0.52,85.31
2000,7.14,9.83,6.00,15.19,9.32,0.30,77.78
2001,8.76,13.50,6.00,42.42,53.21,1.04,84.90
2002,4.40,7.37,6.00,8.61,8.72,0.31,83.19
2003,2.96,6.72,6.00,69.30,31.40,0.58,94.72
2004,3.62,10.27,6.00,31.91,7.03,0.43,83.81
2005,9.77,6.84,6.00,27.47,25.01,0.28,94.97
2006,4.17,4.47,6.00,31.66,18.71,0.31,76.69
2007,2.90,2.03,6.00,21.11,31.29,0.45,95.37
2008,2.79,1.79,6.00,4.12,17.83,0.33,97.10
2009,2.11,11.08,6.00,25.01,31.33,0.40,85.00
2010,6.23,1.62,6.00,57.58,33.42,0.58,93.36
2011,6.86,3.64,6.00,32.43,12.87,0.54,93.72
2012,4.36,5.22,6.00,56.33,18.46,0.32,109.53
2013,2.12,12.68,6.00,7.68,19.67,0.83,87.97
2014,4.79,6.50,6.00,43.58,22.98,0.42,93.46
2015,1.48,7.02,6.00,29.30,15.47,0.57,95.38
2016,3.83,8.32,6.00,47.49,32.96,0.46,101.75
2017,4.07,8.43,6.00,27.11,18.51,0.67,90.77
2018,3.49,7.91,6.00,57.03,9.38,0.41,82.37
2019,5.54,2.66,6.00,59.77,36.37,1.10,98.52
2020,2.89,4.53,6.00,38.44,31.89,0.66,88.18
2021,4.59,3.24,6.00,26.48,18.58,0.84,86.84
2022,5.03,1.28,6.00,8.02,14.24,0.72,89.03
