year,mass_balance,uncertainty_mass_balance
1971,-11.31,6.00
1972,-2.99,6.00
1973,4.03,6.00
1974,-23.97,6.00
1975,-2.82,6.00
1976,-7.40,6.00
1977,3.22,6.00
1978,-11.34,6.00
1979,-16.76,6.00
1980,-9.86,6.00
1981,-10.84,6.00
1982,5.34,6.00
1983,-1.51,6.00
1984,-17.41,6.00
1985,-11.18,6.00
1986,-2.98,6.00
1987,12.91,6.00
1988,-9.96,6.00
1989,-7.43,6.00
1990,-17.25,6.00
1991,7.26,6.00
1992,-1.49,6.00
1993,-25.14,6.00
1994,3.91,6.00
1995,-14.54,6.00
1996,-10.52,6.00
1997,-6.97,6.00
1998,-20.81,6.00
1999,-9.04,6.00
2000,-0.44,6.00
2001,-18.94,6.00
2002,-11.85,6.00
2003,-16.75,6.00
2004,-20.93,6.00
2005,-15.09,6.00
2006,-8.90,6.00
2007,-6.88,6.00
2008,4.31,6.00
2009,-9.62,6.00
2010,-22.00,6.00
2011,-22.00,6.00
2012,-22.00,6.00
2013,-22.00,6.00
2014,-22.00,6.00
2015,-22.00,6.00
2016,-22.00,6.00
2017,-22.00,6.00
2018,-26.21,6.00
2019,-19.60,6.00
2020,-50.50,6.00
2021,-9.65,6.00
2022,-38.28,6.00
