year,mass_balance,uncertainty_mass_balance
1971,,
1972,,
1973,,
1974,,
1975,,
1976,,
1977,,
1978,,
1979,,
1980,,
1981,,
1982,,
1983,,
1984,,
1985,,
1986,8.42,
1987,,
1988,-12.38,
1989,10.91,0.55
1990,-7.44,4.13
1991,-17.35,4.59
1992,11.41,5.96
1993,9.22,5.72
1994,0.67,6.40
1995,-9.75,3.25
1996,-13.15,3.81
1997,-13.22,5.64
1998,-15.59,2.73
1999,-9.46,4.03
2000,-16.70,7.14
2001,-11.46,8.76
2002,-10.88,4.40
2003,-15.44,2.96
2004,-17.70,3.62
2005,-13.92,9.77
2006,-11.60,4.17
2007,-9.79,2.90
2008,-12.82,2.79
2009,-4.67,2.11
2010,-36.82,6.23
2011,-5.10,6.86
2012,-8.19,4.36
2013,-5.91,2.12
2014,-12.50,4.79
2015,10.29,1.48
2016,-13.33,3.83
2017,-4.79,4.07
2018,1.66,3.49
2019,-17.47,5.54
2020,-6.07,2.89
2021,-16.70,4.59
2022,-0.75,5.03
